-57.652561,	 10.360209,	 5.676776,	 -0.232432,	 -0.712890,	 -0.285982,
-58.535343,	 7.406695,	 4.489952,	 -0.186380,	 -0.720181,	 -0.290113,
-59.228294,	 4.427142,	 3.287741,	 -0.140435,	 -0.725039,	 -0.293246,
-59.732067,	 1.431481,	 2.074223,	 -0.094722,	 -0.727525,	 -0.295403,
-60.047810,	 -1.570605,	 0.853391,	 -0.049359,	 -0.727703,	 -0.296606,
-60.177158,	 -4.569697,	 -0.370861,	 -0.004456,	 -0.725636,	 -0.296879,
-60.122173,	 -7.556645,	 -1.594735,	 0.039884,	 -0.721389,	 -0.296245,
-59.885342,	 -10.522568,	 -2.814535,	 0.083566,	 -0.715029,	 -0.294731,
-59.469536,	 -13.458856,	 -4.026665,	 0.126497,	 -0.706622,	 -0.292360,
-58.877987,	 -16.357174,	 -5.227635,	 0.168595,	 -0.696235,	 -0.289157,
-58.114262,	 -19.209467,	 -6.414057,	 0.209780,	 -0.683933,	 -0.285149,
-57.182259,	 -22.007944,	 -7.582645,	 0.249975,	 -0.669783,	 -0.280359,
-56.086174,	 -24.745089,	 -8.730221,	 0.289111,	 -0.653851,	 -0.274813,
-54.830490,	 -27.413658,	 -9.853706,	 0.327121,	 -0.636201,	 -0.268537,
-53.419956,	 -30.006670,	 -10.950127,	 0.363941,	 -0.616899,	 -0.261554,
-51.859589,	 -32.517418,	 -12.016611,	 0.399510,	 -0.596008,	 -0.253890,
-50.154644,	 -34.939453,	 -13.050390,	 0.433770,	 -0.573592,	 -0.245569,
-48.310600,	 -37.266594,	 -14.048795,	 0.466666,	 -0.549714,	 -0.236616,
-46.333183,	 -39.492916,	 -15.009257,	 0.498145,	 -0.524439,	 -0.227056,
