-0.009660,	 1.468758,	 0.673941,	 -4.841966,	 0.368961,	 0.300070,
-0.035079,	 1.470543,	 0.675447,	 -4.840995,	 0.296932,	 0.267006,
-0.060490,	 1.471951,	 0.676779,	 -4.838788,	 0.225169,	 0.234031,
-0.085887,	 1.472983,	 0.677939,	 -4.835359,	 0.153686,	 0.201151,
-0.111264,	 1.473640,	 0.678926,	 -4.830719,	 0.082498,	 0.168374,
-0.136613,	 1.473925,	 0.679741,	 -4.824880,	 0.011619,	 0.135705,
-0.161929,	 1.473837,	 0.680385,	 -4.817856,	 -0.058939,	 0.103152,
-0.187206,	 1.473380,	 0.680859,	 -4.809658,	 -0.129162,	 0.070722,
-0.212438,	 1.472555,	 0.681162,	 -4.800300,	 -0.199037,	 0.038419,
-0.237618,	 1.471364,	 0.681296,	 -4.789793,	 -0.268553,	 0.006250,
-0.262740,	 1.469809,	 0.681262,	 -4.778150,	 -0.337695,	 -0.025778,
-0.287799,	 1.467892,	 0.681059,	 -4.765384,	 -0.406454,	 -0.057661,
-0.312789,	 1.465614,	 0.680690,	 -4.751506,	 -0.474817,	 -0.089393,
-0.337703,	 1.462979,	 0.680154,	 -4.736531,	 -0.542773,	 -0.120967,
-0.362537,	 1.459987,	 0.679453,	 -4.720469,	 -0.610312,	 -0.152379,
-0.387284,	 1.456642,	 0.678587,	 -4.703335,	 -0.677421,	 -0.183623,
-0.411939,	 1.452945,	 0.677558,	 -4.685139,	 -0.744092,	 -0.214695,
-0.436496,	 1.448899,	 0.676366,	 -4.665896,	 -0.810313,	 -0.245589,
-0.460949,	 1.444507,	 0.675012,	 -4.645616,	 -0.876075,	 -0.276300,
-0.485295,	 1.439770,	 0.673497,	 -4.624313,	 -0.941369,	 -0.306824,
-0.509526,	 1.434692,	 0.671823,	 -4.601998,	 -1.006184,	 -0.337156,
-0.533638,	 1.429274,	 0.669989,	 -4.578685,	 -1.070512,	 -0.367292,
-0.557625,	 1.423519,	 0.667998,	 -4.554385,	 -1.134344,	 -0.397226,
-0.581483,	 1.417431,	 0.665850,	 -4.529111,	 -1.197671,	 -0.426955,
-0.605206,	 1.411011,	 0.663546,	 -4.502875,	 -1.260484,	 -0.456475,
-0.628789,	 1.404263,	 0.661088,	 -4.475689,	 -1.322776,	 -0.485781,
-0.652228,	 1.397188,	 0.658477,	 -4.447565,	 -1.384538,	 -0.514870,
-0.675517,	 1.389791,	 0.655713,	 -4.418516,	 -1.445762,	 -0.543737,
-0.698652,	 1.382073,	 0.652798,	 -4.388552,	 -1.506441,	 -0.572378,
-0.721627,	 1.374037,	 0.649733,	 -4.357686,	 -1.566567,	 -0.600790,
-0.744439,	 1.365687,	 0.646520,	 -4.325930,	 -1.626133,	 -0.628970,
-0.767082,	 1.357026,	 0.643159,	 -4.293296,	 -1.685132,	 -0.656913,
-0.789552,	 1.348056,	 0.639652,	 -4.259795,	 -1.743557,	 -0.684616,
-0.811844,	 1.338781,	 0.636000,	 -4.225439,	 -1.801401,	 -0.712076,
-0.833954,	 1.329203,	 0.632204,	 -4.190240,	 -1.858658,	 -0.739289,
-0.855877,	 1.319326,	 0.628266,	 -4.154209,	 -1.915320,	 -0.766252,
-0.877610,	 1.309152,	 0.624187,	 -4.117357,	 -1.971383,	 -0.792962,
-0.899147,	 1.298686,	 0.619969,	 -4.079696,	 -2.026839,	 -0.819416,
-0.920485,	 1.287930,	 0.615611,	 -4.041238,	 -2.081682,	 -0.845611,
-0.941620,	 1.276887,	 0.611117,	 -4.001992,	 -2.135908,	 -0.871543,
-0.962546,	 1.265561,	 0.606488,	 -3.961972,	 -2.189509,	 -0.897210,
-0.983261,	 1.253954,	 0.601724,	 -3.921187,	 -2.242481,	 -0.922609,
-1.003761,	 1.242071,	 0.596828,	 -3.879648,	 -2.294819,	 -0.947737,
-1.024040,	 1.229914,	 0.591800,	 -3.837367,	 -2.346515,	 -0.972591,
-1.044097,	 1.217487,	 0.586642,	 -3.794355,	 -2.397566,	 -0.997169,
-1.063925,	 1.204794,	 0.581356,	 -3.750622,	 -2.447967,	 -1.021468,
-1.083523,	 1.191837,	 0.575942,	 -3.706179,	 -2.497712,	 -1.045486,
-1.102886,	 1.178621,	 0.570404,	 -3.661036,	 -2.546796,	 -1.069219,
-1.122010,	 1.165148,	 0.564741,	 -3.615205,	 -2.595215,	 -1.092666,
-1.140893,	 1.151423,	 0.558956,	 -3.568696,	 -2.642963,	 -1.115824,
-1.159530,	 1.137448,	 0.553050,	 -3.521519,	 -2.690037,	 -1.138690,
-1.177918,	 1.123228,	 0.547024,	 -3.473685,	 -2.736432,	 -1.161263,
-1.196053,	 1.108765,	 0.540880,	 -3.425204,	 -2.782143,	 -1.183539,
-1.213932,	 1.094064,	 0.534621,	 -3.376086,	 -2.827166,	 -1.205517,
-1.231553,	 1.079128,	 0.528246,	 -3.326341,	 -2.871496,	 -1.227195,
-1.248911,	 1.063961,	 0.521758,	 -3.275981,	 -2.915130,	 -1.248569,
-1.266003,	 1.048566,	 0.515159,	 -3.225014,	 -2.958063,	 -1.269639,
-1.282826,	 1.032947,	 0.508450,	 -3.173451,	 -3.000291,	 -1.290401,
-1.299377,	 1.017107,	 0.501632,	 -3.121302,	 -3.041810,	 -1.310854,
-1.315654,	 1.001052,	 0.494708,	 -3.068576,	 -3.082617,	 -1.330996,
-1.331652,	 0.984784,	 0.487678,	 -3.015285,	 -3.122707,	 -1.350824,
-1.347370,	 0.968306,	 0.480545,	 -2.961436,	 -3.162077,	 -1.370337,
-1.362803,	 0.951624,	 0.473310,	 -2.907041,	 -3.200722,	 -1.389532,
-1.377950,	 0.934740,	 0.465976,	 -2.852110,	 -3.238640,	 -1.408408,
-1.392807,	 0.917659,	 0.458542,	 -2.796650,	 -3.275825,	 -1.426963,
-1.407372,	 0.900384,	 0.451012,	 -2.740674,	 -3.312276,	 -1.445195,
-1.421642,	 0.882919,	 0.443387,	 -2.684189,	 -3.347988,	 -1.463101,
-1.435615,	 0.865269,	 0.435669,	 -2.627206,	 -3.382957,	 -1.480680,
-1.449287,	 0.847436,	 0.427859,	 -2.569734,	 -3.417181,	 -1.497931,
